Date,Open,High,Low,Close,Adj Close,Volume
2019-08-12,94.250000,98.199997,91.529999,93.010002,93.010002,1895649
2019-08-13,92.839996,100.500000,92.839996,99.650002,99.650002,3034908
2019-08-14,96.519997,97.730003,91.599998,94.019997,94.019997,2822881
2019-08-15,95.989998,97.139999,91.370102,93.660004,93.660004,1520342
2019-08-16,95.000000,98.099998,93.400002,96.050003,96.050003,1530550
2019-08-19,98.800003,101.479897,95.599998,99.389999,99.389999,2801463
2019-08-20,99.230003,101.879997,97.260002,99.160004,99.160004,1439345
2019-08-21,100.589996,100.959999,96.270103,96.580002,96.580002,1805604
2019-08-22,96.290001,96.580002,92.800003,92.970001,92.970001,1767533
2019-08-23,91.370003,91.559998,86.000000,88.430000,88.430000,3050846
2019-08-26,90.239998,90.839996,86.129997,88.879997,88.879997,1463680
2019-08-27,89.279999,89.949997,83.233704,84.080002,84.080002,1828841
2019-08-28,84.000000,87.524399,82.614098,86.989998,86.989998,1921251
2019-08-29,88.300003,89.346298,83.290001,83.820000,83.820000,1789971
2019-08-30,84.019997,84.940002,78.889999,81.279999,81.279999,1910152
2019-09-03,80.849998,83.800003,80.251701,83.760002,83.760002,1832813
2019-09-04,85.000000,87.769997,82.889999,85.309998,85.309998,2412963
2019-09-05,86.250000,87.190002,82.500000,86.849998,86.849998,3971133
2019-09-06,79.699997,81.500000,75.305000,75.980003,75.980003,8672342
2019-09-09,76.105003,76.118401,64.339996,67.099998,67.099998,8598237
2019-09-10,65.699997,71.800003,65.699997,71.650002,71.650002,4672469
2019-09-11,69.209999,70.930000,67.199997,69.110001,69.110001,3113980
2019-09-12,69.680000,72.400002,69.059998,69.660004,69.660004,2923450
2019-09-13,69.860001,70.309998,64.709999,64.860001,64.860001,4166281
2019-09-16,63.709999,68.860001,63.500000,67.860001,67.860001,2804534
2019-09-17,68.639999,71.334198,68.130096,71.040001,71.040001,2820589
2019-09-18,70.120003,71.878899,68.800003,70.849998,70.849998,2003010
2019-09-19,71.500000,71.870003,67.639999,68.930000,68.930000,1690628
2019-09-20,68.949997,69.458000,66.190002,66.970001,66.970001,3374383
2019-09-23,67.120003,68.570000,66.540001,66.910004,66.910004,826629
2019-09-24,67.019997,67.370003,62.000000,62.520000,62.520000,2615966
2019-09-25,62.000000,63.389999,60.110001,62.020000,62.020000,2466798
2019-09-26,62.049999,62.360001,57.660000,58.299999,58.299999,2892188
2019-09-27,58.270000,58.330002,52.840000,53.459999,53.459999,4516813
2019-09-30,53.500000,58.650002,51.610001,58.310001,58.310001,4104029
2019-10-01,58.299999,59.509998,55.650002,57.889999,57.889999,2841737
2019-10-02,56.805000,57.660000,54.070000,56.630001,56.630001,1589815
2019-10-03,59.480000,62.400002,56.754002,62.139999,62.139999,5076359
2019-10-04,62.000000,64.459999,61.549999,63.840000,63.840000,2157446
2019-10-07,63.360001,69.699997,62.720001,68.779999,68.779999,3621793
2019-10-08,67.400002,68.430000,64.480003,65.300003,65.300003,2766793
2019-10-09,66.349998,66.430000,62.500000,63.080002,63.080002,2207773
2019-10-10,62.599998,63.610001,60.400002,61.410000,61.410000,2306927
2019-10-11,58.770000,61.480000,57.270000,60.270000,60.270000,3335811
2019-10-14,55.799999,57.849998,53.200001,54.520000,54.520000,4458071
2019-10-15,55.009998,56.410000,54.030102,55.209999,55.209999,1982381
2019-10-16,53.570000,55.770000,51.799999,52.029999,52.029999,2597819
2019-10-17,51.759998,53.150002,50.330002,50.439999,50.439999,2785744
2019-10-18,50.000000,50.320000,46.459999,47.040001,47.040001,3675231
2019-10-21,46.930000,48.970001,46.220299,47.400002,47.400002,2411137
2019-10-22,47.250000,48.480000,44.581001,46.200001,46.200001,2707238
2019-10-23,47.000000,50.430000,46.029999,47.869999,47.869999,3707978
2019-10-24,48.599998,52.180000,48.110001,51.840000,51.840000,2050992
2019-10-25,50.880001,52.070000,49.410000,50.110001,50.110001,1532804
2019-10-28,50.259998,51.311501,47.709999,47.950001,47.950001,2761081
2019-10-29,47.430000,48.369999,46.209999,47.799999,47.799999,1740730
2019-10-30,47.720001,52.480000,46.779999,51.445000,51.445000,2224354
2019-10-31,51.200001,51.639999,48.099998,49.910000,49.910000,1052905
2019-11-01,49.939999,50.847301,47.750000,48.500000,48.500000,1441265
2019-11-04,49.150002,50.483200,48.009998,49.650002,49.650002,1311746
2019-11-05,50.180000,50.599998,47.770000,48.700001,48.700001,1468191
2019-11-06,48.560001,48.709999,46.900002,47.830002,47.830002,1028805
2019-11-07,48.259998,48.500000,45.380001,45.500000,45.500000,1669002
2019-11-08,45.020000,47.209999,44.799999,47.209999,47.209999,1980150
2019-11-11,46.500000,47.000000,45.459999,46.200001,46.200001,1287808
2019-11-12,47.500000,47.849998,46.110001,47.049999,47.049999,1740792
2019-11-13,46.830002,52.439999,46.650002,52.000000,52.000000,2868214
2019-11-14,51.310001,54.919998,50.642799,52.730000,52.730000,2834077
2019-11-15,53.000000,59.990002,53.000000,59.750000,59.750000,4025799
2019-11-18,60.000000,60.000000,55.520000,57.070000,57.070000,2243460
2019-11-19,57.450001,57.556000,53.759998,56.000000,56.000000,1598494
2019-11-20,55.240002,58.309898,53.389999,54.880001,54.880001,2260907
2019-11-21,55.459999,55.459999,52.851501,53.770000,53.770000,963275
2019-11-22,54.189999,55.299999,53.750000,54.200001,54.200001,1029525
2019-11-25,55.320000,56.169998,54.855000,55.840000,55.840000,1849286
2019-11-26,56.500000,58.020000,54.259998,55.580002,55.580002,1998927
2019-11-27,56.369999,56.669998,55.230000,56.290001,56.290001,986792
2019-11-29,56.959999,59.500000,56.320000,58.000000,58.000000,1244410
2019-12-02,58.500000,58.599998,52.540699,55.009998,55.009998,2931538
2019-12-03,53.290001,57.590000,53.009998,57.369999,57.369999,1402740
2019-12-04,56.610001,57.000000,54.299999,54.980000,54.980000,1607973
2019-12-05,55.000000,55.209999,51.610001,52.950001,52.950001,3557577
2019-12-06,54.000000,55.099998,50.500000,50.889999,50.889999,8033750
2019-12-09,49.139999,50.959999,48.410000,49.000000,49.000000,13807012
2019-12-10,49.919998,50.020000,47.220001,47.549999,47.549999,5760528
2019-12-11,47.009998,48.799999,46.330002,47.730000,47.730000,9367919
2019-12-12,47.950001,48.500000,46.320000,47.299999,47.299999,5712136
2019-12-13,47.500000,49.860001,46.700001,49.410000,49.410000,6366544
2019-12-16,50.000000,50.110001,48.150002,49.450001,49.450001,5035127
2019-12-17,49.340000,49.439999,47.520000,48.389999,48.389999,4745321
2019-12-18,48.959999,50.299999,48.599998,50.139999,50.139999,5660591
2019-12-19,50.450001,50.450001,49.200001,49.470001,49.470001,3047153
2019-12-20,49.910000,50.000000,48.580002,49.490002,49.490002,3120594
2019-12-23,49.250000,49.299999,47.610001,47.849998,47.849998,4589110
2019-12-24,48.000000,48.720001,47.150002,47.750000,47.750000,1508382
2019-12-26,48.410000,50.060001,48.090000,50.029999,50.029999,4779941
2019-12-27,50.299999,50.380001,48.200001,48.919998,48.919998,3510623
2019-12-30,50.000000,50.560001,48.391201,50.029999,50.029999,5709659
2019-12-31,49.340000,50.340000,48.900002,49.869999,49.869999,3290695
2020-01-02,50.029999,50.750000,49.250000,49.439999,49.439999,4427985
2020-01-03,48.919998,51.990002,48.790100,50.750000,50.750000,11256554
2020-01-06,51.849998,56.169998,51.029999,55.110001,55.110001,21771072
2020-01-07,54.549999,56.500000,54.500000,54.750000,54.750000,12467423
2020-01-08,54.200001,55.860001,53.299999,55.660000,55.660000,7526569
2020-01-09,56.950001,57.250000,55.099998,55.939999,55.939999,6521874
2020-01-10,56.490002,58.299999,56.000000,57.200001,57.200001,8155289
2020-01-13,57.360001,59.740002,57.000000,58.970001,58.970001,7045548
2020-01-14,59.230000,60.660000,57.500000,59.240002,59.240002,7789240
2020-01-15,59.230000,61.970001,59.230000,60.250000,60.250000,7973345
2020-01-16,61.500000,62.750000,61.000000,62.240002,62.240002,6164623
2020-01-17,63.049999,63.700001,62.060001,63.450001,63.450001,6255850
2020-01-21,63.020000,63.389999,61.259998,62.240002,62.240002,6086676
2020-01-22,63.000000,64.040001,62.299999,62.570000,62.570000,4257778
